camis,name,boro,cuisine,action,score,grade,rating,review_count,location.address1,coordinates.latitude,coordinates.longitude,ratings1
50044726,Amy's Restaurant,MANHATTAN,Chinese/Cuban,violations,5,A,3.5,97,586 W 207th St,40.86701,-73.92097,****
40570634,An Beal Bocht Cafe,BRONX,American,violations,9,A,4,106,445 W 238th St,40.88738,-73.90498,****
41386399,An Choi,MANHATTAN,Vietnamese/Cambodian/Malaysia,violations,32,C,3.5,462,85 Orchard St,40.71798,-73.99042,****
50044184,An'Nam,MANHATTAN,Vietnamese/Cambodian/Malaysia,violations,7,A,4,191,234 W 48th St,40.76052856,-73.98638916,****
50001014,John F Kennedy International Airport - JFK,BRONX,Bakery,violations,30,C,3,1562,Van Wyck & JFK Expressway,40.641435,-73.778288,***
41573593,Ana Pastry Shop,MANHATTAN,Bakery,violations,12,A,4.5,8,701 W 180th St,40.84970948,-73.9368668,*****
50000892,Anable Basin Sailing Bar & Grill,QUEENS,American,violations,5,A,4.5,120,4-40 44th Dr,40.749385,-73.9550896,*****
50059130,El Anafe Express,MANHATTAN,Seafood,violations,13,A,3,17,525 Nepperhan Ave,40.9441047,-73.8834646,***
50004244,Analogue,MANHATTAN,American,violations,2,A,4,213,19 W 8th St,40.732688,-73.997467,****
50000705,Anarkali Indian Cuisine,BROOKLYN,Indian,violations,31,C,3.5,90,1125 Church Ave,40.647476,-73.9686,****
50000549,Anassa Taverna,MANHATTAN,American,violations,12,A,3.5,238,200 E 60th St,40.762037,-73.9660633,****
41597814,Anatolia Mediterranean Cuisine,MANHATTAN,Mediterranean,violations,13,A,3.5,163,401 E 62nd St,40.76146,-73.96029,****
50009143,Anatolian Gyro Restaurant,BROOKLYN,Turkish,violations,6,A,3.5,98,2623 E 16th St,40.587483,-73.953013,****
50009379,Anchor Coffee and Corp,BROOKLYN,Caf̩/Coffee/Tea,violations,4,A,4.5,60,525A Throop Ave,40.6842654,-73.9411785,*****
50056222,Anchor Heights,MANHATTAN,Italian,violations,11,A,4,113,575 W 207th St,40.86666,-73.92037,****
50011944,Anchor Wine Bar,MANHATTAN,Italian,violations,22,B,4,214,3508 Broadway,40.82536161,-73.95103388,****
50056908,Ancolie,MANHATTAN,Salads,violations,12,A,4.5,50,58 W 8th St,40.73324539,-73.99910375,*****
50012221,Anda Lucia Bar & Lounge,BROOKLYN,Italian,violations,5,A,4.5,22,1336 Bushwick Ave,40.68568,-73.911933,*****
41611450,Andaman Thai Bistro,MANHATTAN,Thai,violations,23,B,4,129,1843 1st Ave,40.78281,-73.94526,****
41537725,Andanada,MANHATTAN,Spanish,violations,14,B,3,250,141 W 69th St,40.77625,-73.98146,***
41390347,Andaz 5th Avenue-a concept by Hyatt,MANHATTAN,Indian,violations,14,B,4,214,485 5th Ave At 41st St,40.75281637,-73.98101091,****
50055081,Andaz 5th Avenue-a concept by Hyatt,MANHATTAN,American,violations,12,A,4,214,485 5th Ave At 41st St,40.75281637,-73.98101091,****
50049597,Andella's Restaurant,STATEN ISLAND,Pizza/Italian,violations,19,B,4,53,1281 Arthur Kill Rd,40.566001,-74.183064,****
41630561,Andiamo Cafe,MANHATTAN,Spanish,violations,27,B,4.5,6,1326 StNicholas Ave,40.8472474,-73.9368648,*****
41577859,Andie's Pizza,MANHATTAN,American,violations,17,B,4,1,1167 2nd Ave,40.76226,-73.9635,****
50062379,Ando,MANHATTAN,American,violations,13,A,4,75,31 W 14th St,40.7369222,-73.995053,****
50038413,Andre's Hungarian Strudels and Pastries,QUEENS,Bakery,violations,12,A,4,29,1049 1st Ave,40.7586969,-73.962973,****
50005131,Andrea's Chicken,QUEENS,Peruvian,violations,15,B,3.5,30,5627 61st St,40.72383685,-73.90423502,****
50015646,Andrea's Restaurant,BRONX,Spanish,violations,9,A,4.5,2,104 E 165th St,40.83124101,-73.92152153,*****
41485036,Andres Carne De Tres,QUEENS,Latin,violations,12,A,2.5,149,51-05 58th St,40.736006,-73.9091444,***
40692361,Andrews Coffee Shop,BROOKLYN,American,violations,10,A,3,285,463 7th Ave,40.75175357,-73.98997428,***
40720393,Andrew's Diner,STATEN ISLAND,American,violations,23,B,4,102,4160 Hylan Blvd,40.53825,-74.14901,****
41041936,Andrews Pizzeria,QUEENS,Pizza/Italian,violations,7,A,3.5,41,7922 Eliot Ave,40.7246131,-73.8796998,****
50065983,Andrew's Classic Roadside by Hard Times Sundaes,BROOKLYN,Hamburgers,violations,6,A,2.5,22,445 Albee Square W,40.69116196,-73.98300212,***
40378579,Andrews Coffee Shop,MANHATTAN,American,violations,9,A,3,285,463 7th Ave,40.75175357,-73.98997428,***
50013567,Andy's Cafe,QUEENS,Pizza,violations,18,B,3,25,23-39 Astoria Blvd,40.771619,-73.9233809,***
40899816,Brooklyn Museum,BROOKLYN,Caf̩/Coffee/Tea,violations,5,A,4.5,506,200 Eastern Pkwy,40.6714058,-73.96367788,*****
41362141,Cafeteria,QUEENS,American,violations,12,A,3.5,2913,119 7th Ave,40.74056759,-73.99807479,****
50019007,Andy's Cuisine Restaurant,BRONX,Caribbean,violations,12,A,4,1,1444 Williamsbridge Rd,40.84337548,-73.84501667,****
41689361,Andy's Deli,MANHATTAN,American,closed,52,C,3.5,58,418 Columbus Ave,40.78284,-73.97505,****
40998470,Tea & Sympathy,MANHATTAN,Latin,violations,12,A,3.5,719,108 Greenwich Ave,40.73817511,-74.00189815,****
41611347,Williamsburg Smorgasburg - Saturday,BRONX,Tex-Mex,violations,12,A,4.5,933,90 Kent Ave,40.721021,-73.962177,*****
41619698,Anejo,MANHATTAN,Mexican,violations,11,A,3.5,525,668 10th Ave,40.762577,-73.992919,****
50009477,Anejo Tribeca,MANHATTAN,Mexican,violations,5,A,3.5,227,301 Church St,40.7193829,-74.004417,****
41410058,Anella,BROOKLYN,Italian,violations,8,A,4,365,222 Franklin St,40.73327,-73.95786,****
41491144,Anfora,MANHATTAN,Italian,violations,6,A,4,144,34 8th Ave,40.73789,-74.00408,****
50051715,Kulu Desserts,BROOKLYN,Other,violations,5,A,3.5,319,806 62nd St,40.6341365,-74.0106602,****
41239953,Angel's Grill,BRONX,Latin,violations,28,C,4,8,720 E 187th St,40.85386,-73.88387,****
41579193,Song,BROOKLYN,Jewish/Kosher,violations,17,B,3.5,976,295 5th Ave,40.6735,-73.9825199,****
